OrderID,Date,CustomerName,Item,Quantity,Price,PaymentType,Notes
"31,""Dec 3, 2025"",David,Cake,ERROR,3.50,Card,UNKNOWN"
32,12/02/2025,,,Two,,Cash,UNKNOWN
33,,UNKNOWN,ERROR,2,3.50,Cash,Extra sugar
34,,UNKNOWN,Juice,2,N/A,Cash,Spilled order
35,UNKNOWN,Alice,Juice,Two,5.00,Online,UNKNOWN
36,UNKNOWN,UNKNOWN,ERROR,1,N/A,,No ice
37,UNKNOWN,Unknown,Cake,Two,ERROR,Online,No ice
"38,""Dec 3, 2025"",UNKNOWN,Cake,Two,2.75,,Spilled order"
39,,Charlie,Cake,2,2.75,Card,UNKNOWN
40,,UNKNOWN,Tea,2,2.75,UNKNOWN,Extra sugar
41,2025-12-01,Alice,Cake,Two,N/A,,Extra sugar
"42,""Dec 3, 2025"",Bob,Sandwich,Two,,Cash,Extra sugar"
43,2025/12/04,,Coffee,Two,5.00,Online,
"44,""Dec 3, 2025"",Charlie,Cake,2,2.75,Card,Spilled order"
45,2025/12/04,Unknown,ERROR,Two,ERROR,Cash,Extra sugar
46,2025-12-01,Bob,Coffee,Two,ERROR,Card,No ice
47,12/02/2025,Charlie,Tea,,2.75,UNKNOWN,UNKNOWN
48,,Eve,ERROR,1,2.75,Online,
49,2025-12-01,David,Coffee,3,5.00,Online,
50,,Eve,ERROR,1,2.75,UNKNOWN,Extra sugar
51,UNKNOWN,UNKNOWN,Tea,,5.00,Online,
52,12/02/2025,Bob,Sandwich,3,ERROR,,
53,12/02/2025,UNKNOWN,Tea,Two,2.75,Card,
54,2025-12-01,David,Tea,,N/A,Cash,No ice
55,12/02/2025,Charlie,ERROR,Two,N/A,UNKNOWN,No ice
56,2025/12/04,David,,2,ERROR,,
57,12/02/2025,Alice,Juice,ERROR,5.00,Cash,
58,,David,Cake,,N/A,Cash,
59,,Alice,Cake,2,5.00,UNKNOWN,Spilled order
60,,David,Sandwich,,N/A,,UNKNOWN
61,,,Sandwich,,N/A,Cash,UNKNOWN
62,2025/12/04,Alice,Cake,2,5.00,Cash,
"63,""Dec 3, 2025"",Bob,Juice,3,,,UNKNOWN"
64,UNKNOWN,UNKNOWN,Cake,1,N/A,Online,
65,2025-12-01,Unknown,,Two,2.75,Cash,No ice
66,,UNKNOWN,Juice,,ERROR,Card,UNKNOWN
67,12/02/2025,Eve,Sandwich,Two,,,
68,,UNKNOWN,Coffee,ERROR,5.00,Cash,Spilled order
69,12/02/2025,Charlie,ERROR,2,,UNKNOWN,
70,UNKNOWN,,,Two,3.50,Card,Extra sugar
71,UNKNOWN,David,,2,3.50,Cash,
72,UNKNOWN,Eve,Sandwich,Two,N/A,Card,
73,12/02/2025,Charlie,Sandwich,1,N/A,Card,No ice
74,,Charlie,Tea,1,2.75,Online,No ice
75,UNKNOWN,Alice,,1,ERROR,Card,UNKNOWN
76,2025/12/04,UNKNOWN,Tea,1,,Online,
77,12/02/2025,Bob,Tea,1,3.50,,Extra sugar
78,12/02/2025,Unknown,ERROR,1,N/A,Online,
79,,Bob,Tea,2,ERROR,UNKNOWN,
80,12/02/2025,Eve,Juice,,,Cash,
81,12/02/2025,,Cake,Two,N/A,,
82,UNKNOWN,Bob,Coffee,1,N/A,,Extra sugar
83,,David,Sandwich,2,3.50,UNKNOWN,
84,UNKNOWN,Bob,Juice,2,3.50,Online,Spilled order
85,UNKNOWN,Eve,Coffee,2,N/A,Cash,Spilled order
86,,Unknown,,,5.00,Online,No ice
87,2025-12-01,Bob,,Two,N/A,Card,UNKNOWN
88,UNKNOWN,David,,,ERROR,Online,
89,2025/12/04,Alice,Juice,3,N/A,,No ice
90,2025/12/04,,Juice,2,2.75,Cash,Extra sugar
91,12/02/2025,Eve,Sandwich,3,2.75,Online,Spilled order
92,2025/12/04,Alice,Cake,ERROR,2.75,Cash,
93,12/02/2025,Alice,Tea,1,5.00,Cash,Extra sugar
94,2025-12-01,Alice,,1,5.00,Card,UNKNOWN
95,,Charlie,ERROR,,N/A,Card,Extra sugar
96,,,Cake,Two,2.75,,
97,,Unknown,ERROR,3,5.00,UNKNOWN,UNKNOWN
98,2025/12/04,UNKNOWN,Sandwich,Two,3.50,Cash,Extra sugar
99,2025-12-01,,Sandwich,,N/A,UNKNOWN,UNKNOWN
100,2025/12/04,Charlie,Sandwich,1,ERROR,,
101,2025/12/04,UNKNOWN,Coffee,Two,,Cash,
102,2025-12-01,,ERROR,Two,N/A,Cash,UNKNOWN
103,2025-12-01,Alice,Cake,1,,UNKNOWN,
104,2025-12-01,Eve,Cake,3,2.75,Online,No ice
105,2025-12-01,UNKNOWN,Juice,1,,Card,Extra sugar
106,,David,Juice,Two,2.75,Online,Extra sugar
"107,""Dec 3, 2025"",David,,3,3.50,UNKNOWN,"
"108,""Dec 3, 2025"",Bob,Juice,3,,Card,"
109,2025-12-01,UNKNOWN,Sandwich,1,N/A,Online,
"110,""Dec 3, 2025"",Eve,Cake,Two,2.75,Card,Spilled order"
"111,""Dec 3, 2025"",Unknown,ERROR,,N/A,Cash,Spilled order"
112,2025-12-01,Charlie,Sandwich,Two,5.00,Online,UNKNOWN
"113,""Dec 3, 2025"",Alice,Coffee,2,2.75,Card,Spilled order"
114,2025/12/04,Bob,Juice,ERROR,,Card,
115,12/02/2025,David,Sandwich,,2.75,Card,UNKNOWN
116,12/02/2025,Charlie,Sandwich,3,N/A,Online,Extra sugar
117,2025-12-01,Charlie,Coffee,,3.50,,No ice
118,,Alice,Tea,3,2.75,Online,
119,2025-12-01,Unknown,Cake,3,,UNKNOWN,Extra sugar
120,,Unknown,ERROR,,5.00,Online,Extra sugar
121,12/02/2025,UNKNOWN,,3,ERROR,Card,UNKNOWN
122,2025-12-01,David,Tea,3,3.50,Cash,
123,UNKNOWN,Unknown,Juice,2,5.00,Online,
124,2025/12/04,Eve,Sandwich,Two,2.75,Online,
"125,""Dec 3, 2025"",Unknown,Coffee,Two,N/A,Card,"
126,,Charlie,Coffee,ERROR,N/A,Cash,Extra sugar
127,UNKNOWN,Alice,Cake,ERROR,,Cash,
"128,""Dec 3, 2025"",Eve,Tea,2,N/A,UNKNOWN,Spilled order"
"129,""Dec 3, 2025"",UNKNOWN,,ERROR,3.50,Online,"
130,2025-12-01,David,Cake,,N/A,Cash,Extra sugar
"131,""Dec 3, 2025"",UNKNOWN,Sandwich,1,,Cash,UNKNOWN"
132,2025/12/04,Charlie,Cake,1,ERROR,,
133,UNKNOWN,Eve,ERROR,1,2.75,,No ice
"134,""Dec 3, 2025"",Eve,Coffee,2,2.75,Cash,"
135,2025-12-01,Eve,Coffee,2,N/A,UNKNOWN,Extra sugar
136,2025/12/04,Charlie,Juice,3,5.00,Cash,No ice
137,12/02/2025,Charlie,Juice,1,2.75,Card,No ice
138,UNKNOWN,UNKNOWN,,,ERROR,Online,Spilled order
"139,""Dec 3, 2025"",Bob,Sandwich,ERROR,N/A,UNKNOWN,No ice"
140,2025-12-01,UNKNOWN,ERROR,,,Card,UNKNOWN
141,12/02/2025,David,Tea,ERROR,ERROR,UNKNOWN,Extra sugar
142,12/02/2025,Alice,Cake,1,N/A,Card,Extra sugar
143,,Eve,,1,ERROR,Online,
144,2025/12/04,Bob,Sandwich,1,2.75,Online,
"145,""Dec 3, 2025"",Alice,Juice,2,,,"
146,2025-12-01,Bob,Cake,ERROR,N/A,Card,UNKNOWN
147,,Unknown,Juice,2,3.50,,No ice
148,2025/12/04,Unknown,Cake,2,,Card,No ice
149,,,Tea,Two,3.50,,Spilled order
150,UNKNOWN,Unknown,Sandwich,,ERROR,Online,UNKNOWN
151,2025/12/04,UNKNOWN,Cake,,5.00,UNKNOWN,
152,2025/12/04,Unknown,ERROR,3,,,
"153,""Dec 3, 2025"",Charlie,,2,ERROR,Card,Spilled order"
154,2025/12/04,Eve,Coffee,ERROR,3.50,Card,
155,,UNKNOWN,ERROR,Two,2.75,Online,No ice
156,2025/12/04,Alice,ERROR,Two,2.75,Card,Spilled order
"157,""Dec 3, 2025"",,,,5.00,Cash,Spilled order"
"158,""Dec 3, 2025"",,Coffee,2,,UNKNOWN,Extra sugar"
159,UNKNOWN,,ERROR,3,,,No ice
160,,Alice,Cake,2,,UNKNOWN,No ice
161,12/02/2025,Alice,Cake,1,ERROR,Online,UNKNOWN
162,12/02/2025,Alice,Cake,2,5.00,,Spilled order
163,2025/12/04,Alice,Coffee,1,,,No ice
164,UNKNOWN,,ERROR,1,ERROR,Cash,Spilled order
165,2025-12-01,,Coffee,3,2.75,Online,UNKNOWN
166,2025/12/04,Bob,Cake,ERROR,3.50,Card,UNKNOWN
167,UNKNOWN,UNKNOWN,,,ERROR,Cash,Extra sugar
168,,Eve,ERROR,2,2.75,Cash,Spilled order
169,,Unknown,ERROR,1,2.75,UNKNOWN,No ice
170,,Unknown,Juice,2,3.50,UNKNOWN,No ice
171,,Charlie,Juice,ERROR,2.75,UNKNOWN,Spilled order
172,,,Tea,,5.00,Cash,Spilled order
173,UNKNOWN,Charlie,Sandwich,ERROR,3.50,Card,Spilled order
174,UNKNOWN,UNKNOWN,Juice,,2.75,,
"175,""Dec 3, 2025"",UNKNOWN,Coffee,Two,N/A,UNKNOWN,No ice"
176,12/02/2025,Charlie,Juice,,ERROR,Card,UNKNOWN
177,,,Tea,3,2.75,Online,No ice
178,2025-12-01,Charlie,ERROR,ERROR,5.00,UNKNOWN,
179,UNKNOWN,Unknown,Tea,1,,,Spilled order
180,2025-12-01,Bob,ERROR,Two,2.75,Online,Extra sugar
181,2025-12-01,Unknown,,3,,Online,Spilled order
182,2025-12-01,David,,2,N/A,,Spilled order
"183,""Dec 3, 2025"",,ERROR,ERROR,2.75,UNKNOWN,"
184,UNKNOWN,,Sandwich,1,3.50,Cash,No ice
185,2025-12-01,Eve,Juice,,,,Spilled order
186,,Alice,Coffee,1,N/A,,No ice
187,2025/12/04,David,Coffee,2,3.50,,
188,2025-12-01,UNKNOWN,Cake,Two,3.50,Online,UNKNOWN
"189,""Dec 3, 2025"",,ERROR,Two,3.50,Card,No ice"
190,UNKNOWN,Charlie,Coffee,ERROR,3.50,Cash,Extra sugar
"191,""Dec 3, 2025"",David,Sandwich,Two,2.75,UNKNOWN,UNKNOWN"
192,2025-12-01,Eve,ERROR,ERROR,ERROR,UNKNOWN,Extra sugar
193,UNKNOWN,UNKNOWN,Sandwich,ERROR,2.75,Card,Spilled order
194,2025/12/04,Alice,Coffee,ERROR,2.75,,UNKNOWN
195,2025-12-01,Alice,Coffee,,N/A,Cash,No ice
"196,""Dec 3, 2025"",Eve,Cake,3,N/A,UNKNOWN,UNKNOWN"
197,12/02/2025,Eve,Coffee,ERROR,ERROR,UNKNOWN,Spilled order
198,,Charlie,ERROR,ERROR,N/A,,
"199,""Dec 3, 2025"",,,3,5.00,Card,Extra sugar"
200,UNKNOWN,Alice,ERROR,1,ERROR,Cash,Spilled order
201,2025-12-01,UNKNOWN,ERROR,ERROR,N/A,Card,
202,,David,Cake,,ERROR,Card,UNKNOWN
203,2025-12-01,UNKNOWN,Cake,Two,2.75,Cash,UNKNOWN
204,UNKNOWN,Bob,Coffee,Two,2.75,Cash,Spilled order
205,2025-12-01,Bob,Tea,2,ERROR,UNKNOWN,No ice
206,12/02/2025,Eve,Tea,2,5.00,UNKNOWN,UNKNOWN
207,,Charlie,Cake,Two,5.00,Cash,No ice
208,,Bob,Coffee,Two,ERROR,Online,No ice
209,UNKNOWN,Alice,Tea,,N/A,UNKNOWN,No ice
210,12/02/2025,UNKNOWN,Coffee,3,,Online,
"211,""Dec 3, 2025"",UNKNOWN,Coffee,2,5.00,Cash,"
212,2025-12-01,Eve,Coffee,3,3.50,UNKNOWN,
213,2025/12/04,,Juice,,2.75,Card,UNKNOWN
214,2025-12-01,,ERROR,Two,ERROR,Cash,UNKNOWN
215,2025-12-01,David,Coffee,ERROR,3.50,,No ice
"216,""Dec 3, 2025"",Eve,Juice,3,ERROR,Online,"
217,2025-12-01,Unknown,Cake,Two,2.75,Cash,No ice
218,12/02/2025,David,Tea,Two,2.75,Cash,
219,12/02/2025,Unknown,ERROR,1,5.00,UNKNOWN,No ice
220,,,,3,5.00,UNKNOWN,Extra sugar
221,UNKNOWN,Eve,Tea,ERROR,3.50,UNKNOWN,Extra sugar
222,2025/12/04,Unknown,ERROR,3,ERROR,,Spilled order
223,2025-12-01,Eve,,Two,2.75,UNKNOWN,No ice
224,2025-12-01,Eve,Tea,ERROR,3.50,Cash,UNKNOWN
"225,""Dec 3, 2025"",,ERROR,,,UNKNOWN,"
226,UNKNOWN,David,Tea,1,3.50,Card,Spilled order
227,12/02/2025,David,Tea,Two,N/A,UNKNOWN,UNKNOWN
228,2025/12/04,Eve,,2,3.50,,Extra sugar
229,,Bob,Tea,2,N/A,Card,No ice
230,12/02/2025,Charlie,Tea,1,N/A,Cash,Spilled order
231,UNKNOWN,,,,N/A,Cash,No ice
232,,Charlie,Cake,Two,,Online,Extra sugar
"233,""Dec 3, 2025"",Charlie,Coffee,3,3.50,Card,Spilled order"
"234,""Dec 3, 2025"",David,Sandwich,1,3.50,Online,Extra sugar"
235,2025-12-01,David,Juice,,,Card,
236,UNKNOWN,Bob,Sandwich,3,2.75,Card,Extra sugar
237,2025/12/04,Charlie,Sandwich,2,5.00,,No ice
238,,Charlie,ERROR,2,3.50,Online,
239,12/02/2025,Eve,Coffee,3,5.00,,Extra sugar
240,UNKNOWN,David,ERROR,1,ERROR,Card,UNKNOWN
241,UNKNOWN,Charlie,Coffee,2,ERROR,Cash,
"242,""Dec 3, 2025"",UNKNOWN,,Two,,Card,"
243,2025-12-01,Bob,,ERROR,ERROR,,Spilled order
244,2025-12-01,Unknown,Coffee,3,ERROR,Online,Spilled order
245,,UNKNOWN,Tea,3,2.75,Online,
"246,""Dec 3, 2025"",UNKNOWN,Cake,2,2.75,,Spilled order"
247,UNKNOWN,Unknown,Tea,1,2.75,Online,Extra sugar
248,2025/12/04,,Cake,Two,ERROR,UNKNOWN,
"249,""Dec 3, 2025"",,ERROR,1,,Cash,No ice"
250,,Bob,Cake,,N/A,Cash,Extra sugar
251,,UNKNOWN,ERROR,,N/A,Cash,Extra sugar
"252,""Dec 3, 2025"",Charlie,,ERROR,5.00,Online,Extra sugar"
253,,David,Sandwich,2,N/A,Online,No ice
"254,""Dec 3, 2025"",Bob,,2,N/A,Card,"
255,12/02/2025,Eve,,2,2.75,Card,UNKNOWN
"256,""Dec 3, 2025"",Unknown,Sandwich,ERROR,2.75,Cash,Spilled order"
"257,""Dec 3, 2025"",UNKNOWN,Cake,,ERROR,UNKNOWN,"
258,,Bob,Cake,1,5.00,Card,
259,,Alice,ERROR,ERROR,3.50,Card,
260,2025-12-01,Alice,Tea,ERROR,5.00,Online,Spilled order
261,2025-12-01,,ERROR,1,5.00,UNKNOWN,No ice
262,12/02/2025,Unknown,Tea,2,,Cash,Extra sugar
263,2025-12-01,David,,Two,ERROR,Card,Extra sugar
"264,""Dec 3, 2025"",Charlie,Sandwich,1,,UNKNOWN,No ice"
265,,David,,,5.00,UNKNOWN,
266,2025-12-01,David,Coffee,3,5.00,Cash,
267,2025-12-01,David,Cake,3,5.00,UNKNOWN,
268,12/02/2025,Unknown,Tea,ERROR,N/A,UNKNOWN,No ice
269,UNKNOWN,David,ERROR,3,,UNKNOWN,
270,12/02/2025,Eve,Sandwich,Two,5.00,Card,No ice
"271,""Dec 3, 2025"",Unknown,Tea,2,2.75,Cash,Spilled order"
272,,Eve,ERROR,,ERROR,UNKNOWN,Extra sugar
273,12/02/2025,Unknown,Cake,Two,ERROR,UNKNOWN,Extra sugar
274,2025-12-01,,,,2.75,Card,Extra sugar
275,,Bob,Cake,,ERROR,Cash,No ice
276,,Alice,Juice,2,N/A,Online,No ice
277,2025-12-01,David,Coffee,ERROR,N/A,Card,
278,12/02/2025,,Juice,3,3.50,Cash,Extra sugar
279,2025-12-01,Bob,Sandwich,2,3.50,UNKNOWN,
280,UNKNOWN,Alice,Tea,Two,3.50,Cash,Extra sugar
281,,UNKNOWN,Sandwich,ERROR,ERROR,Cash,
282,2025/12/04,Charlie,,Two,N/A,Cash,
283,2025/12/04,Eve,ERROR,ERROR,N/A,Online,Spilled order
"284,""Dec 3, 2025"",UNKNOWN,Cake,Two,N/A,Cash,"
285,2025-12-01,Unknown,Juice,2,2.75,Online,No ice
286,2025-12-01,Alice,Juice,ERROR,N/A,UNKNOWN,
"287,""Dec 3, 2025"",UNKNOWN,,ERROR,2.75,Online,Extra sugar"
"288,""Dec 3, 2025"",Charlie,Juice,,3.50,UNKNOWN,"
"289,""Dec 3, 2025"",,,,3.50,UNKNOWN,"
290,,Alice,Sandwich,1,ERROR,Online,UNKNOWN
291,UNKNOWN,UNKNOWN,Cake,Two,3.50,Card,Extra sugar
292,2025-12-01,Eve,Tea,,ERROR,,
293,,Eve,ERROR,1,5.00,Cash,Extra sugar
"294,""Dec 3, 2025"",Bob,Tea,,5.00,,No ice"
295,2025-12-01,UNKNOWN,Sandwich,Two,,Cash,UNKNOWN
296,,David,ERROR,ERROR,ERROR,Cash,UNKNOWN
297,UNKNOWN,UNKNOWN,Juice,3,,UNKNOWN,No ice
298,,,Coffee,Two,,Cash,UNKNOWN
299,UNKNOWN,Alice,Sandwich,2,5.00,Cash,No ice
"300,""Dec 3, 2025"",Alice,Sandwich,,ERROR,Online,"
301,UNKNOWN,,Cake,,5.00,,Spilled order
302,2025-12-01,UNKNOWN,Tea,ERROR,,Online,Extra sugar
"303,""Dec 3, 2025"",,Sandwich,2,ERROR,Cash,No ice"
304,2025-12-01,Charlie,Sandwich,ERROR,,UNKNOWN,Extra sugar
305,2025/12/04,Unknown,Juice,2,N/A,Online,
306,12/02/2025,,Juice,3,ERROR,Online,Spilled order
307,UNKNOWN,Eve,ERROR,,ERROR,Card,
308,12/02/2025,,,,,Cash,UNKNOWN
309,12/02/2025,Alice,,3,N/A,UNKNOWN,Extra sugar
310,UNKNOWN,Eve,Coffee,1,2.75,Online,Spilled order
"311,""Dec 3, 2025"",Alice,,ERROR,5.00,Online,UNKNOWN"
312,2025/12/04,Bob,Cake,3,,UNKNOWN,Spilled order
313,2025-12-01,David,Coffee,ERROR,ERROR,Cash,UNKNOWN
314,,Alice,ERROR,Two,5.00,Card,
315,2025-12-01,Eve,Juice,,5.00,Online,No ice
316,,Bob,,ERROR,5.00,Card,Extra sugar
317,2025-12-01,Alice,Tea,2,2.75,,
318,UNKNOWN,Charlie,Juice,ERROR,3.50,Cash,
319,2025/12/04,,Cake,Two,,,
320,,David,Juice,,3.50,,Extra sugar
"321,""Dec 3, 2025"",Alice,Cake,3,3.50,,Extra sugar"
322,2025-12-01,Bob,Cake,Two,3.50,Cash,
323,2025-12-01,Charlie,Cake,,5.00,Cash,Extra sugar
324,,UNKNOWN,ERROR,ERROR,N/A,UNKNOWN,No ice
"325,""Dec 3, 2025"",Bob,Cake,1,5.00,Card,"
"326,""Dec 3, 2025"",,Cake,1,5.00,Card,No ice"
327,UNKNOWN,Bob,Tea,2,ERROR,UNKNOWN,Extra sugar
328,UNKNOWN,Charlie,Coffee,,ERROR,UNKNOWN,
329,UNKNOWN,Bob,Sandwich,1,3.50,,Extra sugar
330,UNKNOWN,Charlie,Coffee,3,5.00,UNKNOWN,
331,UNKNOWN,Alice,Cake,,3.50,Online,Extra sugar
332,UNKNOWN,Unknown,Tea,3,ERROR,Card,No ice
333,2025/12/04,Charlie,Juice,3,N/A,UNKNOWN,No ice
"334,""Dec 3, 2025"",Charlie,Tea,1,,Online,Extra sugar"
335,UNKNOWN,David,Cake,,3.50,Online,
"336,""Dec 3, 2025"",Charlie,Tea,ERROR,N/A,Online,"
"337,""Dec 3, 2025"",Charlie,,Two,,Online,No ice"
338,12/02/2025,UNKNOWN,Tea,1,2.75,,No ice
339,2025/12/04,Unknown,Cake,1,3.50,Online,UNKNOWN
340,UNKNOWN,Alice,ERROR,ERROR,3.50,,
341,2025-12-01,,,,2.75,,Extra sugar
342,,David,Tea,,2.75,Online,
343,2025-12-01,UNKNOWN,Sandwich,3,3.50,Card,UNKNOWN
344,2025/12/04,Eve,Sandwich,ERROR,2.75,Online,Extra sugar
345,,Unknown,Tea,ERROR,5.00,Online,Spilled order
346,2025/12/04,Alice,ERROR,,,Online,No ice
"347,""Dec 3, 2025"",Alice,Juice,3,,Card,Spilled order"
348,,Eve,Cake,1,,Cash,No ice
"349,""Dec 3, 2025"",,Sandwich,2,5.00,Cash,No ice"
350,2025-12-01,Charlie,Juice,Two,2.75,,Spilled order
351,2025-12-01,UNKNOWN,Tea,1,N/A,,Spilled order
352,,Bob,Juice,,2.75,Card,Extra sugar
353,,David,,Two,3.50,UNKNOWN,UNKNOWN
354,UNKNOWN,Bob,Coffee,2,ERROR,Cash,UNKNOWN
355,2025/12/04,Eve,Sandwich,2,,,Spilled order
356,UNKNOWN,Alice,Tea,3,2.75,Cash,Extra sugar
357,2025/12/04,,Cake,Two,N/A,Card,UNKNOWN
358,UNKNOWN,Alice,ERROR,3,3.50,Card,Extra sugar
"359,""Dec 3, 2025"",David,,1,5.00,UNKNOWN,Extra sugar"
360,,Alice,Tea,ERROR,5.00,UNKNOWN,No ice
361,2025-12-01,Alice,Cake,ERROR,N/A,Card,UNKNOWN
362,2025/12/04,David,ERROR,ERROR,3.50,,UNKNOWN
363,2025/12/04,UNKNOWN,ERROR,Two,,Cash,No ice
364,2025-12-01,UNKNOWN,Tea,ERROR,2.75,Online,Spilled order
365,UNKNOWN,David,,1,3.50,UNKNOWN,No ice
366,2025/12/04,,Juice,3,5.00,Online,UNKNOWN
"367,""Dec 3, 2025"",Eve,Juice,Two,N/A,,UNKNOWN"
368,,Unknown,ERROR,3,N/A,UNKNOWN,Spilled order
369,2025-12-01,Alice,Juice,Two,2.75,Online,No ice
370,,,Coffee,3,N/A,,
371,2025/12/04,Alice,ERROR,2,N/A,Cash,
372,2025/12/04,Unknown,ERROR,3,3.50,,Spilled order
373,2025-12-01,Eve,Cake,ERROR,,UNKNOWN,No ice
"374,""Dec 3, 2025"",UNKNOWN,Juice,2,2.75,Card,No ice"
375,12/02/2025,,,3,3.50,Cash,Extra sugar
376,2025-12-01,Charlie,ERROR,Two,,Online,UNKNOWN
377,12/02/2025,Charlie,,Two,3.50,UNKNOWN,
378,UNKNOWN,Unknown,Coffee,Two,ERROR,Card,Spilled order
379,12/02/2025,Charlie,Cake,,3.50,,
"380,""Dec 3, 2025"",UNKNOWN,Tea,1,N/A,Card,"
381,UNKNOWN,Unknown,,Two,,UNKNOWN,Spilled order
382,12/02/2025,UNKNOWN,ERROR,2,2.75,UNKNOWN,No ice
383,UNKNOWN,Eve,Coffee,Two,2.75,Card,Spilled order
384,12/02/2025,Alice,Sandwich,,,,
"385,""Dec 3, 2025"",Eve,Coffee,ERROR,N/A,Card,UNKNOWN"
386,12/02/2025,Eve,Coffee,2,5.00,UNKNOWN,UNKNOWN
387,12/02/2025,UNKNOWN,Cake,,3.50,UNKNOWN,UNKNOWN
388,12/02/2025,Unknown,Tea,ERROR,N/A,Online,No ice
389,2025-12-01,Unknown,Sandwich,2,ERROR,Online,
390,2025-12-01,Charlie,Juice,3,,Cash,Spilled order
391,2025-12-01,Bob,Juice,1,3.50,UNKNOWN,UNKNOWN
"392,""Dec 3, 2025"",Alice,,1,2.75,Online,Spilled order"
393,UNKNOWN,UNKNOWN,Coffee,,5.00,Card,UNKNOWN
394,2025/12/04,Charlie,Cake,ERROR,ERROR,,No ice
395,12/02/2025,,Cake,1,2.75,Card,
396,12/02/2025,Bob,Juice,ERROR,,,
"397,""Dec 3, 2025"",Bob,,ERROR,3.50,Online,UNKNOWN"
398,12/02/2025,UNKNOWN,,,,Cash,No ice
399,2025-12-01,David,,,3.50,Card,Extra sugar
400,2025/12/04,Alice,Sandwich,,N/A,Card,Spilled order
401,,Bob,Tea,1,5.00,Card,Spilled order
402,12/02/2025,UNKNOWN,Sandwich,,N/A,,
403,2025-12-01,UNKNOWN,ERROR,1,N/A,Online,No ice
404,,Charlie,ERROR,,,Card,
405,2025/12/04,,Tea,Two,5.00,Card,UNKNOWN
406,,David,Juice,ERROR,3.50,Cash,
407,2025-12-01,Alice,Tea,,3.50,Cash,
408,UNKNOWN,Unknown,Cake,2,ERROR,Online,Spilled order
409,UNKNOWN,Eve,ERROR,ERROR,2.75,Online,
410,,,Coffee,ERROR,ERROR,UNKNOWN,
"411,""Dec 3, 2025"",,Coffee,,ERROR,Cash,No ice"
412,,Charlie,Juice,3,3.50,UNKNOWN,
413,12/02/2025,Unknown,Cake,,,,UNKNOWN
414,12/02/2025,Bob,Sandwich,ERROR,N/A,UNKNOWN,UNKNOWN
415,UNKNOWN,Bob,Cake,2,N/A,Card,UNKNOWN
"416,""Dec 3, 2025"",Charlie,Coffee,ERROR,N/A,UNKNOWN,Spilled order"
417,2025-12-01,UNKNOWN,Coffee,2,5.00,Online,
418,12/02/2025,Bob,ERROR,1,3.50,,No ice
419,UNKNOWN,David,Cake,Two,,Card,
420,2025/12/04,Alice,Cake,ERROR,5.00,UNKNOWN,Spilled order
421,UNKNOWN,,Coffee,,2.75,,
422,12/02/2025,,Sandwich,1,,,Spilled order
423,12/02/2025,David,Juice,Two,ERROR,Card,UNKNOWN
424,UNKNOWN,Unknown,,,,UNKNOWN,
425,2025-12-01,Bob,Juice,3,,,UNKNOWN
426,,,Cake,,N/A,,Extra sugar
427,12/02/2025,Eve,Juice,2,,Cash,Spilled order
428,UNKNOWN,Unknown,Coffee,2,ERROR,,Spilled order
429,UNKNOWN,Alice,Coffee,3,ERROR,Cash,No ice
"430,""Dec 3, 2025"",Alice,Cake,1,3.50,UNKNOWN,"
431,,,Cake,Two,,UNKNOWN,
432,2025/12/04,Charlie,,,N/A,UNKNOWN,
